bestVendorBuylist,bestVendorBuylistPrice,countForTrade,date,fair_price,lowestPrice,lowestPriceVendor,name,quantity,setName
Card Kingdom,0.1,0,2020-02-08_1130,0.30000000000000004,0.24,ABUGames,Planewide Celebration,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.05,0.05,TCG Player,Pledge of Unity,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.07,0.07,TCG Player,Pollenbright Druid,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.06,0.06,TCG Player,Price of Betrayal,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.01,0.01,TCG Player,Primordial Wurm,0,War_of_the_Spark
ABUGames,0.03,0,2020-02-08_1130,0.11,0.11,TCG Player,Prison Realm,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.05,0.05,TCG Player,Ral's Outburst,0,War_of_the_Spark
CoolStuff,1.0,0,2020-02-08_1130,0.95,0.49,StrikeZone,"Ral, Storm Conduit",0,War_of_the_Spark
ABUGames,0.02,0,2020-02-08_1130,0.1,0.1,TCG Player,Rally of Wings,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.03,0.03,TCG Player,Relentless Advance,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.03,0.03,TCG Player,Rescuer Sphinx,0,War_of_the_Spark
ABUGames,0.02,0,2020-02-08_1130,0.09,0.09,TCG Player,Return to Nature,0,War_of_the_Spark
Card Kingdom,0.8,0,2020-02-08_1130,1.25,0.79,StrikeZone,"Roalesk, Apex Hybrid",0,War_of_the_Spark
ChannelFireball,0.08,0,2020-02-08_1130,0.14,0.14,TCG Player,Role Reversal,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.02,0.02,TCG Player,Rubblebelt Rioters,0,War_of_the_Spark
CoolStuff,1.5,0,2020-02-08_1130,0.51,0.33,StrikeZone,"Saheeli, Sublime Artificer",0,War_of_the_Spark
ABUGames,0.02,0,2020-02-08_1130,0.1,0.1,TCG Player,Samut's Sprint,0,War_of_the_Spark
Miniature Market,0.25,0,2020-02-08_1130,0.15,0.15,TCG Player,"Samut, Tyrant Smasher",0,War_of_the_Spark
Miniature Market,2.0,0,2020-02-08_1130,0.99,0.59,Card Kingdom,Sarkhan the Masterless,0,War_of_the_Spark
Card Kingdom,0.1,0,2020-02-08_1130,0.1,0.1,TCG Player,Single Combat,0,War_of_the_Spark
Card Kingdom,0.1,0,2020-02-08_1130,0.22,0.22,TCG Player,Solar Blaze,0,War_of_the_Spark
Miniature Market,3.0,0,2020-02-08_1130,1.54,1.29,StrikeZone,"Sorin, Vengeful Bloodlord",0,War_of_the_Spark
ChannelFireball,0.1,0,2020-02-08_1130,0.19,0.19,TCG Player,Soul Diviner,0,War_of_the_Spark
Card Kingdom,1.75,0,2020-02-08_1130,2.49,2.29,ABUGames,Spark Double,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.01,0.01,TCG Player,Spark Reaper,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.02,0.02,TCG Player,Steady Aim,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.02,0.02,TCG Player,Storm the Citadel,0,War_of_the_Spark
Card Kingdom,0.1,0,2020-02-08_1130,0.25,0.25,Card Kingdom,"Storrev, Devkarin Lich",0,War_of_the_Spark
